pitchOutcome,Vel,PXNorm,PZNorm,x,y,pitchType,count,outs,inn,batterHand,pitcherHand,batter,pitcher,battingTeam,pitchingTeam,pitchOutcome,Vel,PXNorm,PZNorm,pitchType,count
SL,61.0,-1.33761686024164,-0.100369385354437,1.33761686024164,-0.100369385354437,Screwball,1-0,2,Bot 5,L,R,Sams,Caldwell,UCSB,UCSD,SL,61.0,-1.33761686024164,-0.100369385354437,Screwball,1-0
SL,61.4,-0.523520496551592,-0.112514673489918,0.523520496551592,-0.112514673489918,Screwball,1-1,2,Bot 5,L,R,Sams,Caldwell,UCSB,UCSD,SL,61.4,-0.523520496551592,-0.112514673489918,Screwball,1-1
B,60.5,-0.713024498712082,0.355463521859746,0.713024498712082,0.355463521859746,Screwball,1-2,2,Bot 5,L,R,Sams,Caldwell,UCSB,UCSD,B,60.5,-0.713024498712082,0.355463521859746,Screwball,1-2
SL,61.9,0.768391795399159,0.0577464049903784,-0.768391795399159,0.0577464049903784,Curveball,0-0,2,Bot 5,R,R,Fuentes,Caldwell,UCSB,UCSD,SL,61.9,0.768391795399159,0.0577464049903784,Curveball,0-0
SL,60.9,0.854537585087252,0.170066643890081,-0.854537585087252,0.170066643890081,Curveball,0-1,2,Bot 5,R,R,Fuentes,Caldwell,UCSB,UCSD,SL,60.9,0.854537585087252,0.170066643890081,Curveball,0-1
Ball,60.5,-0.681766659207662,0.282879662994451,0.681766659207662,0.282879662994451,Screwball,0-2,2,Bot 5,R,R,Fuentes,Caldwell,UCSB,UCSD,Ball,60.5,-0.681766659207662,0.282879662994451,Screwball,0-2
B,61.3,0.571740278555955,-0.0819396206997367,-0.571740278555955,-0.0819396206997367,Curveball,1-2,2,Bot 5,R,R,Fuentes,Caldwell,UCSB,UCSD,B,61.3,0.571740278555955,-0.0819396206997367,Curveball,1-2
SL,60.4,0.506237206784699,0.640570957620364,-0.506237206784699,0.640570957620364,Curveball,0-0,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,SL,60.4,0.506237206784699,0.640570957620364,Curveball,0-0
S,61.6,0.306571529953814,0.36507645658247,-0.306571529953814,0.36507645658247,Curveball,0-1,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,S,61.6,0.306571529953814,0.36507645658247,Curveball,0-1
S,60.1,0.0207349994424667,0.123205961535811,-0.0207349994424667,0.123205961535811,Screwball,0-2,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,S,60.1,0.0207349994424667,0.123205961535811,Screwball,0-2
Ball,60.4,-0.293480143476462,-1.57642426101779,0.293480143476462,-1.57642426101779,Dropball,0-2,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,Ball,60.4,-0.293480143476462,-1.57642426101779,Dropball,0-2
Ball,61.3,1.38787588477997,0.4188185054107,-1.38787588477997,0.4188185054107,Curveball,1-2,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,Ball,61.3,1.38787588477997,0.4188185054107,Curveball,1-2
S,60.2,0.0729794812958049,0.206323106841435,-0.0729794812958049,0.206323106841435,Screwball,2-2,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,S,60.2,0.0729794812958049,0.206323106841435,Screwball,2-2
S,60.3,0.0895035278853287,0.349759226149703,-0.0895035278853287,0.349759226149703,Screwball,2-2,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,S,60.3,0.0895035278853287,0.349759226149703,Screwball,2-2
S,61.6,-0.000706476237528,-0.0614224680452572,0.000706476237528,-0.0614224680452572,Screwball,2-2,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,S,61.6,-0.000706476237528,-0.0614224680452572,Screwball,2-2
